Longitude	Latitude	Depth_BLS	Depth_NAVD	GW_Level	Well_ID
-94.83972	29.74333	634.0	-608.48	-4.41	294435094502201
-95.47222	29.21472	635.0	-599.4	10.55	291252095281901
-95.89278	29.86333	641.0	-468.1	35.75	295147095533300
-95.43806	29.71556	650.0	-593.0	4.45008	6521220--
-95.54417	29.39972	655.0	-603.75	11.96	292358095323801
-95.46528	29.58167	665.0	-598.48	5.62	293453095275401
-95.35389	29.82194	666.0	-602.0	1.92024	6514413--
-95.29083	29.77056	676.0	-634.28	-6.13	294613095172601
-95.31445	29.73695	694.0	-654.0	-2.83464	6522212--
-95.30639	29.73111	697.0	-664.0	-5.54736	6522214--
-95.46889	29.7025	712.0	-657.15	2.47	294208095280701
-95.05278	29.36056	720.0	-700.8	2.40792	6548228--
-95.01917	29.3475	720.0	-703.7	1.31064	292050095010801
-95.04083	29.3525	720.0	-704.5	1.09728	6548314--
-95.84528	29.70583	723.0	-588.47	26.01	294220095504201
-95.635	29.6225	733.0	-656.99	14.02	293720095380501
-94.90195	29.38472	740.0	-731.0	0.54864	6433913--
-95.00806	29.73139	743.0	-724.48	-7.16	294352095002801
-95.04417	29.45917	750.0	-736.1	-1.18872	6540212--
-94.87056	29.67611	755.0	-734.83	-3.0	294033094521301
-95.19167	29.51195	763.0	-736.8	-2.10312	6531818--
-95.88944	29.87056	767.0	-589.85	36.98	295213095532101
-95.38861	29.72333	777.0	-727.0	-8.59536	6521321--
-95.13056	29.73028	790.0	-764.0	-4.572	6523314--
-95.0225	29.33806	790.0	-779.9	1.55448	6548306--
-95.40417	30.02361	793.0	-685.59	25.58	300124095241401
-95.05278	29.36056	796.0	-773.0	-2.68224	6548227--
-95.22583	29.47222	800.0	-764.01	-2.35	292819095133201
-94.90472	29.37778	801.0	-792.0	-17.5565	6433906--
-95.21806	29.73111	802.0	-784.61	-14.44	294351095130401
-95.14556	29.56972	806.0	-774.0	4.8768	6531601--
-95.16611	30.3275	809.0	-638.2	55.1078	301938095095701
-95.38417	29.72333	830.0	-780.0	6.4008	6521322--
-95.2	29.62361	832.0	-791.53	-10.39	293724095115901
-95.34445	29.79389	834.0	-781.0	-3.01752	6514425--
-95.2125	29.71361	834.0	-807.0	-25.8166	6523151--
-95.22556	29.72194	836.0	-818.0	-11.2166	206523139--
-95.07944	29.36972	840.0	-815.38	-9.32	292210095044501
-95.07583	29.36778	843.0	-819.3	-7.34	292203095043201
-95.07472	29.36944	855.0	-835.9	-8.31	292209095042801
-95.13028	29.72667	860.0	-827.0	-2.4384	6523315--
-94.97139	29.38028	860.0	-845.6	3.71856	6433709--
-95.63278	30.07583	864.0	-688.66	35.16	300432095375701
-95.35056	29.72917	866.0	-821.0	-0.54864	6522119--
-95.35278	29.76306	873.0	-828.0	-8.56488	6514737--
-95.06972	29.36556	873.0	-852.97	-8.62	292155095041001
-95.28695	29.68528	876.0	-842.3	-12.44	294106095171201
-95.43	29.75778	887.0	-831.0	2.8956	116513824--
-95.21944	29.825	890.0	-850.0	-2.49936	246515406--
-95.28167	29.73778	900.0	-884.98	-11.12	294415095165301
-95.10417	29.70778	900.0	-870.97	-9.56	294227095061401
-95.39917	29.72194	910.0	-858.0	-4.54152	6521324--
-95.13944	29.72694	913.0	-883.47	-22.09	294336095082101
-94.96806	29.37694	914.0	-898.96	3.3	292236094580401
-94.9375	29.39583	926.0	-916.4	1.00584	6433813--
-95.31944	29.78667	947.0	-897.0	6.096	6514809--
-95.37861	29.76389	953.0	-923.0	-16.1544	6513932--
-95.34972	29.72833	957.0	-913.0	-16.2763	6522106--
-95.20167	29.71861	960.0	-926.0	-10.0584	256523235--
-94.93639	29.37639	965.0	-951.0	1.8288	46433812--
-94.93667	29.37	965.0	-950.0	-7.62	106441218--
-95.21472	29.71917	974.0	-943.0	-9.7536	256523122--
-95.02194	29.74111	974.0	-954.54	-20.59	294427095011801
-94.92028	29.37417	974.0	-959.0	-6.7056	96441217--
-95.0175	29.74806	998.0	-976.23	-11.04	294452095010201
-94.94139	29.37028	1000.0	-985.0	-8.8392	76441208--
-94.94111	29.37667	1000.0	-986.7	-11.97	292235094562701
-95.09417	29.5125	1020.0	-1005.1	0.94488	6532725--
-94.94139	29.37417	1024.0	-1009.0	-3.048	66441216--
-95.2575	29.73472	1033.0	-997.0	-1.524	6522226--
-95.40556	29.80333	1039.0	-971.0	-2.71272	6513614--
-95.40417	30.02417	1052.0	-942.28	40.33	300126095241401
-95.31528	29.73778	1096.0	-1056.0	2.7432	6522211--
-95.39028	29.72333	1127.0	-1076.0	1.12776	6521323--
-95.39278	29.97694	1130.0	-1031.63	22.81	295836095233301
-94.98472	30.39361	1200.0	-1044.8	48.829	302336094590400
-95.40556	29.81028	1232.0	-1164.0	-6.00456	6513605--
-95.40472	29.80306	1252.0	-1185.0	-6.52272	6513607--
-95.21472	29.71833	1275.0	-1246.0	-8.2296	256523123--
-95.26639	29.72222	1283.0	-1248.0	6.7056	6522323--
-95.13306	29.72167	1284.0	-1249.0	-4.8768	6523311--
-95.33389	29.79139	1291.0	-1242.0	-13.2283	6514759--
-95.3775	29.76167	1320.0	-1290.0	-18.1051	6513926--
-95.12611	29.72611	1329.0	-1305.58	-14.5	294333095073301
-95.35083	29.72667	1350.0	-1305.0	-5.1816	6522120--
-95.40556	29.80333	1362.0	-1294.0	14.7828	6513613--
-95.22167	29.72861	1376.0	-1357.0	-4.8768	6523147--
-95.39028	29.72333	1394.0	-1342.0	11.8872	6521319--
-95.20139	29.71972	1399.0	-1369.0	-43.8912	256523237--
-95.18695	29.66528	1419.0	-1384.5	-17.3431	293954095111201
-95.37972	29.76361	1456.0	-1414.0	-1.524	6513924--
-95.40611	29.79806	1458.0	-1389.0	-4.78536	6513608--
-95.45694	30.30806	1464.0	-1251.0	65.1053	301828095272402
-95.41195	29.77111	1465.0	-1406.0	23.4696	6513915--
-95.17944	29.72778	1481.0	-1452.0	-52.4256	256523234--
-95.35111	29.72917	1521.0	-1476.0	7.0104	126522118--
-95.36	29.76361	1535.0	-1500.0	-3.9624	6514747--
-95.37667	29.76389	1540.0	-1498.0	4.572	6513925--
-95.63389	29.62167	1606.0	-1531.23	22.26	293717095380101
-95.38945	29.7225	1618.0	-1567.0	-7.62	6521320--
-95.36	29.77139	1638.0	-1588.0	-0.39624	6514733--
-95.27472	29.7025	1651.0	-1617.0	-4.48056	166522615--
-95.1875	29.66528	1680.0	-1640.0	-16.1544	236523804--
-95.35056	29.72639	1756.0	-1711.0	-3.9624	6522121--
-95.20195	29.71889	1840.0	-1810.0	-12.192	256523236--
-95.40472	29.80389	1858.0	-1791.0	1.03632	6513606--
-95.33472	29.79111	1876.0	-1827.0	10.3632	176514727--
-95.21445	29.71833	1927.0	-1899.0	-4.2672	256523124--
-95.2925	29.86722	1993.0	-1935.6	-9.20496	294745095201001
-95.46778	29.76778	1996.0	-1946.0	25.6032	6513732--
-95.37611	29.7625	2025.0	-1982.0	-3.048	6513933--
-95.6025	30.43694	2500.0	-2298.0	44.8056	302612095360801
