dec_long_va	dec_lat_va	GW_Level_NAVD	Well_ID	WellDepth_BLS	WellDepth_NAVD	GWL_Shallow	GWL_Middle	GWL_Deep
-95.1769444	30.05	-28.6969	300248095105301.0	346.3	-329.9	-16.1	-26.6	-37.1
-95.6027778	29.78916667	-64.96965	294721095361001.0	345.9	-320.2	-53.1	-63.6	-74.1
-95.6366667	29.75416667	-73.52995	294627095375801.0	345.9	-318.8	-61.7	-72.2	-82.7
-95.3925	29.44805556	-31.0774	292653095233301.0	345.3	-330.1	-18.5	-29.0	-39.5
-95.1525	30.06527778	-25.4264	300343095090301.0	344.4	-328.0	-13.0	-23.5	-34.0
-95.4383333	29.44583333	-33.1683	292644095261601.0	342.6	-325.8	-20.9	-31.4	-41.9
-95.8536111	29.71805556	-49.89425	294305095511301.0	342.6	-301.3	-39.3	-49.8	-60.3
-95.6144444	29.72055556	-39.8343	294313095365101.0	342.0	-318.3	-28.1	-38.6	-49.1
-95.5327778	30.20666667	-64.27015	301225095315902.0	341.4	-287.6	-54.6	-65.1	-75.6
-95.5508333	29.58694444	-39.8617	293512095330301.0	338.3	-316.5	-28.2	-38.7	-49.2
-95.3144444	29.9347222	-37.49495	295605095184701.0	337.7	-315.7	-25.9	-36.4	-46.9
-95.2597222	30.1725	-49.4538	301021095153501.0	335.9	-302.7	-38.8	-49.3	-59.8
-95.5863889	29.66083333	-42.0487	293938095351001.0	335.9	-311.6	-30.7	-41.2	-51.7
-95.1894444	30.06305556	-33.8084	300334095113401.0	335.3	-313.3	-22.4	-32.9	-43.4
-95.5208333	29.5561111	-37.5361	293321095311401.0	335.3	-312.7	-26.1	-36.6	-47.1
-95.7677778	29.49805556	-13.3152	292953095460301.0	334.4	-309.8	-2.1	-12.6	-23.1
-95.9722222	29.6722222	-8.1839	294020095582001.0	333.8	-299.9	2.3	-8.2	-18.7
-95.4766667	30.1936111	-67.10325	301135095290102.0	333.5	-290.3	-57.3	-67.8	-78.3
-95.8230556	29.72388889	-46.81575	294326095492301.0	333.5	-294.4	-36.7	-47.2	-57.7
-95.7869444	29.70805556	-44.2722	294219095470501.0	332.2	-298.0	-33.9	-44.4	-54.9
-95.0183333	29.34388889	-12.9906	292037095010501.0	329.2	-324.9	-0.7	-11.2	-21.7
-95.11	30.02277778	-25.427950000000003	300122095063601.0	329.2	-308.1	-14.4	-24.9	-35.4
-95.5733333	29.71055556	-48.14925	294237095342301.0	329.2	-306.8	-37.2	-47.7	-58.2
-95.6180556	29.88	-54.7939	295249095370701.0	329.2	-292.6	-44.8	-55.3	-65.8
-95.4375	29.8675	-60.1294	295204095261301.0	327.7	-301.8	-49.5	-60.0	-70.5
-95.6827778	29.8336111	-57.27195	294959095405501.0	327.7	-292.4	-47.3	-57.8	-68.3
-95.4475	30.0486111	-82.22585000000001	300251095265401.0	327.4	-295.7	-72.0	-82.5	-93.0
-95.5597222	29.56083333	-36.3779	293342095333601.0	327.4	-306.0	-25.5	-36.0	-46.5
-95.3811111	30.10583333	-89.4283	300621095225201.0	324.9	-293.3	-79.4	-89.9	-100.4
-95.5611111	29.55333333	-37.6931	293312095334601.0	324.6	-303.2	-27.0	-37.5	-48.0
-95.5152778	30.20555556	-61.79515	301220095305502.0	324.3	-265.3	-53.7	-64.2	-74.7
-95.9480556	29.84583333	1.3899	295044095565201.0	324.3	-269.4	9.7	-0.8	-11.3
-94.8952778	29.41638889	-12.8458	292458094534205.0	323.1	-321.5	-0.8	-11.3	-21.8
-95.1983333	30.06916667	-29.09165	300408095115201.0	323.1	-300.3	-18.6	-29.1	-39.6
-95.6897222	29.59638889	-24.8366	293545095413301.0	322.5	-299.6	-14.4	-24.9	-35.4
-95.5080556	30.16888889	-74.73085	301007095303001.0	320.6	-270.1	-66.3	-76.8	-87.3
-95.6255556	30.0247222	-81.68639999999999	300129095373201.0	320.6	-274.6	-73.0	-83.5	-94.0
-95.4513889	29.7275	-47.5153	294338095270401.0	320.3	-303.3	-36.8	-47.3	-57.8
-95.4366667	29.94583333	-61.4995	295644095261001.0	320.0	-291.3	-51.6	-62.1	-72.6
